gene_mouse,gene_upper
Nuf2,NUF2
Rgs5,RGS5
Rgs4,RGS4
Hsd17b7,HSD17B7
3110045C21Rik,3110045C21RIK
Ddr2,DDR2
Uap1,UAP1
Uhmk1,UHMK1
Sh2d1b1,SH2D1B1
Gm7694,GM7694
Nos1ap,NOS1AP
Olfml2b,OLFML2B
Atf6,ATF6
Dusp12,DUSP12
Fcrlb,FCRLB
Fcrla,FCRLA
Fcgr2b,FCGR2B
Fcgr4,FCGR4
Fcgr3,FCGR3
Sdhc,SDHC
Mpz,MPZ
Pcp4l1,PCP4L1
Nr1i3,NR1I3
Tomm40l,TOMM40L
Apoa2,APOA2
Fcer1g,FCER1G
Ndufs2,NDUFS2
Adamts4,ADAMTS4
B4galt3,B4GALT3
Ppox,PPOX
Usp21,USP21
Ufc1,UFC1
Dedd,DEDD
Nit1,NIT1
Pfdn2,PFDN2
Klhdc9,KLHDC9
Arhgap30,ARHGAP30
Usf1,USF1
Tstd1,TSTD1
F11r,F11R
Alyref2,ALYREF2
Itln1,ITLN1
Ly9,LY9
Slamf7,SLAMF7
Cd48,CD48
Slamf1,SLAMF1
Cd84,CD84
Slamf6,SLAMF6
Vangl2,VANGL2
Nhlh1,NHLH1
Ncstn,NCSTN
Copa,COPA
Pex19,PEX19
Dcaf8,DCAF8
Pea15a,PEA15A
Casq1,CASQ1
Atp1a4,ATP1A4
Atp1a2,ATP1A2
Igsf8,IGSF8
Kcnj9,KCNJ9
Kcnj10,KCNJ10
Pigm,PIGM
Slamf9,SLAMF9
Igsf9,IGSF9
Tagln2,TAGLN2
4933439K11Rik,4933439K11RIK
Vsig8,VSIG8
Slamf8,SLAMF8
Fcrl6,FCRL6
Dusp23,DUSP23
Crp,CRP
Apcs,APCS
Fcer1a,FCER1A
Cadm3,CADM3
Aim2,AIM2
Ifi204,IFI204
Mndal,MNDAL
Ifi203,IFI203
Ifi202b,IFI202B
Ifi205,IFI205
Olfr433,OLFR433
Olfr432,OLFR432
Olfr414,OLFR414
Fmn2,FMN2
Grem2,GREM2
Rgs7,RGS7
Fh1,FH1
Kmo,KMO
Opn3,OPN3
Chml,CHML
Wdr64,WDR64
Exo1,EXO1
Pld5,PLD5
Cep170,CEP170
Mir350,MIR350
Sdccag8,SDCCAG8
Akt3,AKT3
2310043L19Rik,2310043L19RIK
1700016C15Rik,1700016C15RIK
Adss,ADSS
Hnrnpu,HNRNPU
Efcab2,EFCAB2
Kif26b,KIF26B
Smyd3,SMYD3
Tfb2m,TFB2M
Cnst,CNST
Sccpdh,SCCPDH
Ahctf1,AHCTF1
Cdc42bpa,CDC42BPA
Psen2,PSEN2
Gm5069,GM5069
Itpkb,ITPKB
Parp1,PARP1
Lin9,LIN9
Mixl1,MIXL1
Acbd3,ACBD3
H3f3a,H3F3A
Lefty2,LEFTY2
Pycr2,PYCR2
Lefty1,LEFTY1
Tmem63a,TMEM63A
Ephx1,EPHX1
9130409I23Rik,9130409I23RIK
Nvl,NVL
Cnih4,CNIH4
Wdr26,WDR26
Cnih3,CNIH3
Ccdc121,CCDC121
Lbr,LBR
Enah,ENAH
Srp9,SRP9
Degs1,DEGS1
1700047M11Rik,1700047M11RIK
Fbxo28,FBXO28
Trp53bp2,TRP53BP2
Capn2,CAPN2
Capn8,CAPN8
Susd4,SUSD4
Tlr5,TLR5
Disp1,DISP1
Brox,BROX
Aida,AIDA
Mia3,MIA3
Taf1a,TAF1A
Hhipl2,HHIPL2
1700056E22Rik,1700056E22RIK
Dusp10,DUSP10
1700112H15Rik,1700112H15RIK
Hlx,HLX
C130074G19Rik,C130074G19RIK
Mark1,MARK1
Rab3gap2,RAB3GAP2
Iars2,IARS2
Mir215,MIR215
Bpnt1,BPNT1
Eprs,EPRS
9630028B13Rik,9630028B13RIK
Gm2061,GM2061
Slc30a10,SLC30A10
5033404E19Rik,5033404E19RIK
Lyplal1,LYPLAL1
Tgfb2,TGFB2
Rrp15,RRP15
D1Pas1,D1PAS1
Spata17,SPATA17
1700007P06Rik,1700007P06RIK
Gpatch2,GPATCH2
Esrrg,ESRRG
9330162B11Rik,9330162B11RIK
Ush2a,USH2A
Kctd3,KCTD3
Kcnk2,KCNK2
Cenpf,CENPF
Ptpn14,PTPN14
Smyd2,SMYD2
Prox1,PROX1
Rps6kc1,RPS6KC1
Angel2,ANGEL2
Vash2,VASH2
A230020J21Rik,A230020J21RIK
Tatdn3,TATDN3
Nsl1,NSL1
Batf3,BATF3
Fam71a,FAM71A
Atf3,ATF3
Nenf,NENF
Tmem206,TMEM206
Ppp2r5a,PPP2R5A
Dtl,DTL
Ints7,INTS7
Lpgat1,LPGAT1
Nek2,NEK2
1700034H15Rik,1700034H15RIK
Slc30a1,SLC30A1
Rd3,RD3
Traf5,TRAF5
Rcor3,RCOR3
Gm10516,GM10516
Kcnh1,KCNH1
Hhat,HHAT
1700065J18Rik,1700065J18RIK
Sertad4,SERTAD4
Syt14,SYT14
Diexf,DIEXF
Irf6,IRF6
A130010J15Rik,A130010J15RIK
Traf3ip3,TRAF3IP3
Hsd11b1,HSD11B1
G0s2,G0S2
Lamb3,LAMB3
Camk1g,CAMK1G
Plxna2,PLXNA2
Cd34,CD34
Gm16897,GM16897
A330023F24Rik,A330023F24RIK
Cd46,CD46
Cr1l,CR1L
Cr2,CR2
H60c,H60C
Ppp1r14c,PPP1R14C
Iyd,IYD
Plekhg1,PLEKHG1
Mthfd1l,MTHFD1L
Akap12,AKAP12
Zbtb2,ZBTB2
Rmnd1,RMND1
Gm5512,GM5512
Esr1,ESR1
Syne1,SYNE1
Myct1,MYCT1
Vip,VIP
Fbxo5,FBXO5
Mtrf1l,MTRF1L
Rgs17,RGS17
Oprm1,OPRM1
Ipcef1,IPCEF1
Cnksr3,CNKSR3
Ulbp1,ULBP1
Lrp11,LRP11
Pcmt1,PCMT1
Nup43,NUP43
Lats1,LATS1
Katna1,KATNA1
Ppil4,PPIL4
Zc3h12d,ZC3H12D
Tab2,TAB2
Ust,UST
Sash1,SASH1
Samd5,SAMD5
Gm6150,GM6150
Stxbp5,STXBP5
Rab32,RAB32
Gm5177,GM5177
Grm1,GRM1
Shprh,SHPRH
Fbxo30,FBXO30
Epm2a,EPM2A
Utrn,UTRN
B230208H11Rik,B230208H11RIK
Stx11,STX11
Sf3b5,SF3B5
Plagl1,PLAGL1
Ltv1,LTV1
Phactr2,PHACTR2
Fuca2,FUCA2
Pex3,PEX3
Adat2,ADAT2
Aig1,AIG1
Hivep2,HIVEP2
Vta1,VTA1
Gje1,GJE1
Gm20125,GM20125
Cited2,CITED2
Txlnb,TXLNB
Heca,HECA
Reps1,REPS1
Ect2l,ECT2L
Ccdc28a,CCDC28A
Nhsl1,NHSL1
Hebp2,HEBP2
Gm4922,GM4922
4930444F02Rik,4930444F02RIK
Perp,PERP
Tnfaip3,TNFAIP3
Gm20139,GM20139
Olig3,OLIG3
