gene_symbol,log_fc,t,p_value,adj_p_val,delta_mesor,mesor_p,mesor_FDR,rhythmic_SR_effect_amplitude,SR_effect_acrophase_h
TOR1AIP1,-0.01060043100146931,-0.6355949634811929,0.5253882743766511,0.6752129082271713,-0.01127486150872301,0.5018313711754971,0.6750386744778957,0.0393852528330967,22.08833667635535
MARVELD3,0.01432243595699551,0.2869506841712031,0.7742922730360897,0.8607635219401513,0.03354790901040513,0.5019359634851431,0.6751078399388143,0.06346969298943105,4.456963919072492
NUMBL,0.03283094010838565,0.4194601920299514,0.6750953399640626,0.7896166209894703,0.05300461726454448,0.5019518861097709,0.6751078399388143,0.06640242762812493,21.321642093116225
HIST1H2AJ,0.01414591577452646,0.6029409617751855,0.5468749627032312,0.692208370332514,0.01566526437169121,0.5020237525498034,0.6751580281194568,0.04294867801236403,2.2685572507854337
CNTNAP4,0.02960194010640775,0.6442643538509945,0.5197574109412233,0.670932723424656,0.0309280287864665,0.502063269340569,0.6751647062269671,0.04861757970939361,14.03382330510668
CD3E,0.0364764609792886,1.0293205095797386,0.3039243426029528,0.47205989816423977,0.02398452735306611,0.5021506327476197,0.6752357221663389,0.02817268174741144,15.11370341720204
CCDC85B,-0.00345222062370986,-0.13598954913526193,0.8918950121488183,0.9368661201096627,0.01761167739833822,0.5021852546461064,0.6752358123608041,0.05109083443199872,2.8018045880393863
PIP5K1B,-0.0159908219975223,-0.48727063984323504,0.6263219959367614,0.7535997416909727,-0.02198208927629304,0.5022854758864341,0.6752376526017732,0.05080128125551967,11.298482313701774
LOC100499194,-0.00970680411927031,-0.1812417487079561,0.8562656782662084,0.9146422118255094,-0.03665549845565587,0.5022879223884464,0.6752376526017732,0.089718889537284,22.301629923267008
TTC23L,0.03525961387716202,0.91754932908971,0.3593839796887899,0.5283089569656466,0.02613388431888267,0.5022975293069226,0.6752376526017732,0.09636451517443408,5.376906266485587
PTPN22,-0.02114538257454258,-0.93086864355567,0.352458837245603,0.5217330610269169,-0.01520442811682159,0.502345702839109,0.6752376526017732,0.0699116899897909,2.1404619812126855
CFDP1,-0.02803164520344369,-1.6185839146444374,0.10629110303989772,0.22925324994510388,-0.01217128963307971,0.5023593978570482,0.6752376526017732,0.03025618222864197,9.887428872004712
KIAA1522,-0.02892235639160641,-0.975075702499931,0.330086677418043,0.4998236159183245,-0.02013626586054535,0.5024281937628585,0.6752836738647787,0.04095310993568975,15.890017472680274
NPHP3,-0.01957870970133658,-1.0263116704526167,0.3053382628986192,0.4734704235214728,-0.01284404432083446,0.502486920894119,0.6753161568907825,0.01962364451043602,12.711022400105286
KIAA0195,0.01632118895991162,0.8393284429466574,0.4017648065864251,0.5678349548318626,0.01304368249380375,0.5026083962516681,0.6754292374624962,0.01478040888701504,18.891937129195487
ECEL1,-0.10325818490107992,-0.89075636759164,0.37357231945316693,0.5423056752421317,-0.08087046405913315,0.5026401909410787,0.6754292374624962,0.02254155009611931,12.552016907991364
DPY19L2P3,-0.03243142223308537,-1.1416957293320793,0.25423414734146504,0.41695253656731585,-0.01939298077987435,0.5026802353390272,0.6754366003410527,0.03146114287287906,17.34722887385722
C11ORF63,-0.03072903164568008,-0.616087378301309,0.5381722066278292,0.6850643664721783,-0.03390198729992238,0.5027198566004236,0.6754405603764554,0.08366899823362112,10.808588928827648
C1QTNF7,-0.0359351736949153,-0.8674343168947385,0.38620179785310593,0.553341396288112,-0.02773404493209115,0.5027562851217464,0.6754405603764554,0.09729802879039597,4.868415172924748
MAP1S,-0.01568002286833462,-0.6734194404436914,0.5010526652542684,0.6551017352169972,-0.01573061976750402,0.5027868784215711,0.6754405603764554,0.04563635392473433,1.4473469093433624
HCG18,-0.02577286722788449,-1.397986823561452,0.16285842495669306,0.30810499390829116,-0.01276264682265854,0.5028939650267876,0.6755379783177602,0.01548030494773929,6.921024931315304
TBX3,-0.04184162413624003,-0.7964050874581141,0.4262487190071135,0.5900627811078213,-0.03512042173666759,0.5030171281226687,0.6755882659296527,0.12118100614035944,5.336228098909776
MYLK,-0.02741091787619265,-0.8280450018500375,0.4081175471840889,0.5737997445707024,-0.02212166015430932,0.5030239393473637,0.6755882659296527,0.04304494802835536,0.6061310998742174
HTR3B,-0.08840080324686711,-1.3568594372322718,0.17555818460703285,0.3243436215756858,-0.0435249064124893,0.503035119455322,0.6755882659296527,0.15831740676553244,2.8432504968375767
GTPBP6,-0.02252890972423536,-1.3848568571138005,0.1668349623766829,0.3132925235251548,-0.01132522665116815,0.5030874768429794,0.675612149336036,0.01659056065522991,15.659564018345945
C18ORF1,-0.01748999810802315,-0.7736352893497369,0.43958381379821176,0.6018291393141495,-0.01511983134572124,0.5031732372266255,0.6756808843214328,0.04299289198506734,12.34674046226007
